build,family,assetFamily,encodedBytes
tracked-dist,luna-core,extras,800316
tracked-dist,luna-core,wasm-runtime,2690012
tracked-dist,luna-core,jyutping-core,181
tracked-dist,luna-core,luna-core,27313675
tracked-dist,luna-core,opencc,66408
public-demo-dist,luna-core,extras,812497
public-demo-dist,luna-core,wasm-runtime,2690012
public-demo-dist,luna-core,jyutping-core,181
public-demo-dist,luna-core,luna-core,27313675
public-demo-dist,luna-core,opencc,66408
tracked-dist,jyutping-core,extras,807889
tracked-dist,jyutping-core,wasm-runtime,2690012
tracked-dist,jyutping-core,jyutping-core,41642288
public-demo-dist,jyutping-core,extras,820070
public-demo-dist,jyutping-core,wasm-runtime,2690012
public-demo-dist,jyutping-core,jyutping-core,41642288
tracked-dist,jyutping-scolar,extras,807889
tracked-dist,jyutping-scolar,wasm-runtime,2690012
tracked-dist,jyutping-scolar,jyutping-core,41642288
tracked-dist,jyutping-scolar,jyutping-scolar,19607277
public-demo-dist,jyutping-scolar,extras,820070
public-demo-dist,jyutping-scolar,wasm-runtime,2690012
public-demo-dist,jyutping-scolar,jyutping-core,41642288
public-demo-dist,jyutping-scolar,jyutping-scolar,19607277
tracked-dist,reverse-lookup,extras,807889
tracked-dist,reverse-lookup,wasm-runtime,2690012
tracked-dist,reverse-lookup,jyutping-core,41642288
tracked-dist,reverse-lookup,reverse-lookup,2573862
tracked-dist,reverse-lookup,luna-core,891377
public-demo-dist,reverse-lookup,extras,820070
public-demo-dist,reverse-lookup,wasm-runtime,2690012
public-demo-dist,reverse-lookup,jyutping-core,41642288
public-demo-dist,reverse-lookup,reverse-lookup,2573862
public-demo-dist,reverse-lookup,luna-core,891377
tracked-dist,opencc,extras,807889
tracked-dist,opencc,wasm-runtime,2690012
tracked-dist,opencc,jyutping-core,41642288
tracked-dist,opencc,opencc,70317
public-demo-dist,opencc,extras,820070
public-demo-dist,opencc,wasm-runtime,2690012
public-demo-dist,opencc,jyutping-core,41642288
public-demo-dist,opencc,opencc,70317
tracked-dist,extras,extras,807889
tracked-dist,extras,wasm-runtime,2690012
tracked-dist,extras,jyutping-core,3478723
public-demo-dist,extras,extras,820070
public-demo-dist,extras,wasm-runtime,2690012
public-demo-dist,extras,jyutping-core,3478723
tracked-dist,full-jyutping,extras,807889
tracked-dist,full-jyutping,wasm-runtime,2690012
tracked-dist,full-jyutping,jyutping-core,41642288
tracked-dist,full-jyutping,jyutping-scolar,19607277
tracked-dist,full-jyutping,reverse-lookup,9991345
tracked-dist,full-jyutping,luna-core,891377
tracked-dist,full-jyutping,opencc,70317
public-demo-dist,full-jyutping,extras,820070
public-demo-dist,full-jyutping,wasm-runtime,2690012
public-demo-dist,full-jyutping,jyutping-core,41642288
public-demo-dist,full-jyutping,jyutping-scolar,19607277
public-demo-dist,full-jyutping,reverse-lookup,9991345
public-demo-dist,full-jyutping,luna-core,891377
public-demo-dist,full-jyutping,opencc,70317
