scenarioId,app,build,schema,sampleIndex,readyToInputMs,inputToCandidateMs,commitMs,firstCandidateText,committedValue,wasmReadyBytes,wasmPeakBytes,resourceTransferBytes,resourceUniqueEncodedBytes,storageUsageBytes,workerUrls,consoleErrors
yune-tracked,yune-web,tracked-dist,luna_pinyin,0,967,69,10,伱,伱,134217728,134217728,5718343,5710543,15410,http://127.0.0.1:51686/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,1,930,67,120,伱,伱,134217728,134217728,5718343,5710543,15410,http://127.0.0.1:51686/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,2,928,102,116,伱,伱,134217728,134217728,5718343,5710543,15410,http://127.0.0.1:51686/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,jyutping,0,6667,105,112,你,你,936509440,936509440,35152393,35139193,23914,http://127.0.0.1:51686/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,1,6574,108,117,呢,你,936509440,936509440,35152393,35139193,23914,http://127.0.0.1:51686/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,2,6377,98,116,呢,你,936509440,936509440,35152393,35139193,23914,http://127.0.0.1:51686/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,0,932,74,112,伱,伱,134217728,134217728,5875337,5718449,2294842,http://127.0.0.1:51687/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,1,928,68,110,伱,伱,134217728,134217728,5875337,5718449,2294842,http://127.0.0.1:51687/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,2,1017,65,120,伱,伱,134217728,134217728,5875337,5718449,2294842,http://127.0.0.1:51687/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,jyutping,0,6264,109,121,你,你,936509440,936509440,35433377,35147099,31752050,http://127.0.0.1:51687/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,1,6621,119,106,你,你,936509440,936509440,35433377,35147099,31752050,http://127.0.0.1:51687/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,2,6782,123,120,你,你,936509440,936509440,35433377,35147099,31752050,http://127.0.0.1:51687/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,0,653,95,123,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,1,661,98,115,你,你,16777216,16777216,8951281,8946481,16062666,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,2,655,98,116,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,0,996,94,126,呢,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,1,984,87,124,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,2,994,85,127,我,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
