engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,3,23923400,6,23035000,19918,52,48,100,2000,55200,100,1700,48,0,5,1,363300,5,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,3,23786600,6,22917200,19918,52,48,200,2300,52900,0,2000,48,0,5,1,353900,5,1,600
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,3,23907200,6,23017100,19918,52,48,300,2300,55100,100,2000,48,0,5,1,362600,5,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,3,24072600,6,23029800,19918,52,48,500,2800,55700,200,2200,48,0,5,1,354500,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,3,24869400,6,23923400,19918,52,48,500,3000,59900,100,2300,48,0,5,1,368100,5,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,7,12968900,14,11331000,13954,62,53,400,3500,59400,0,2100,53,0,0,1,339800,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,7,13287600,14,11600400,13954,62,53,400,3300,61600,100,2100,53,0,0,1,345500,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,7,13314000,14,11657900,13954,62,53,600,3800,65900,100,2300,53,0,0,1,341200,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,7,14609100,14,12948100,13954,62,53,1000,3500,61500,100,1800,53,0,0,1,337900,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,7,13094100,14,11515400,13954,62,53,400,3100,62800,300,1900,53,0,0,1,342500,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,0,13,13,39551500,26,37890600,26660,46,45,1000,7300,57000,400,2800,45,0,0,1,470600,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,1,13,13,41251800,26,39851500,26660,46,45,500,5500,59100,400,1900,45,0,0,1,359700,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,2,13,13,41952900,26,40406600,26660,46,45,1200,6300,60000,300,4100,45,0,0,1,581200,0,1,500
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,3,13,13,39601900,26,38170600,26660,46,45,1000,6100,53200,200,2000,45,0,0,1,353500,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,4,13,13,44973600,26,43529400,26660,46,45,500,5700,57300,500,1800,45,0,0,1,368000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,0,11,11,23082800,22,20663200,20712,100,90,500,5200,101300,100,3600,90,0,0,1,338400,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,1,11,11,25982500,22,23432300,20712,100,90,1000,6500,119000,600,4100,90,0,0,1,342600,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,2,11,11,22880900,22,20527900,20712,100,90,700,3900,87800,100,3300,90,0,0,1,341900,0,1,400
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,3,11,11,23318300,22,20837200,20712,100,90,700,5800,107200,200,3400,90,0,0,1,344100,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,4,11,11,23108400,22,20660200,20712,100,90,500,5100,98500,300,4000,90,0,0,1,344200,0,1,100
